km;altitude_m;dplus_cumul_m;dmoins_cumul_m;lat;lon
0.0;1349;0;0;46.23831;6.85161
0.1;1354;5;0;46.23906;6.85113
0.2;1355;6;1;46.23975;6.85195
0.3;1353;7;4;46.24052;6.85220
0.4;1350;7;7;46.24137;6.85185
0.5;1353;11;7;46.24217;6.85239
0.6;1360;18;7;46.24242;6.85333
0.7;1364;22;7;46.24206;6.85446
0.8;1370;28;7;46.24139;6.85535
0.9;1380;38;7;46.24112;6.85644
1.0;1396;54;7;46.24074;6.85753
1.1;1406;64;7;46.24088;6.85874
1.2;1421;79;7;46.24102;6.85993
1.3;1433;91;7;46.24101;6.86105
1.4;1448;106;7;46.24147;6.86041
1.5;1461;119;7;46.24197;6.86036
1.6;1474;132;7;46.24220;6.86099
1.7;1488;146;7;46.24278;6.86001
1.8;1489;149;9;46.24305;6.85879
1.9;1499;159;9;46.24373;6.85804
2.0;1512;171;9;46.24358;6.85911
2.1;1525;184;9;46.24394;6.85894
2.2;1533;192;9;46.24448;6.85825
2.3;1542;202;9;46.24484;6.85774
2.4;1563;222;9;46.24512;6.85854
2.5;1587;246;9;46.24544;6.85838
2.6;1592;252;10;46.24527;6.85965
2.7;1600;260;10;46.24510;6.86089
2.8;1608;269;10;46.24520;6.86197
2.9;1618;279;10;46.24550;6.86312
3.0;1628;288;10;46.24573;6.86419
3.1;1634;295;10;46.24601;6.86536
3.2;1640;302;11;46.24650;6.86639
3.3;1651;313;11;46.24654;6.86767
3.4;1660;322;11;46.24703;6.86869
3.5;1663;326;12;46.24780;6.86847
3.6;1669;332;12;46.24875;6.86850
3.7;1667;332;15;46.24953;6.86906
3.8;1671;336;15;46.25007;6.87000
3.9;1678;344;15;46.25077;6.87076
4.0;1685;351;15;46.25117;6.87151
4.1;1700;366;15;46.25111;6.87250
4.2;1719;384;15;46.25172;6.87331
4.3;1729;394;15;46.25257;6.87290
4.4;1737;402;15;46.25342;6.87318
4.5;1741;407;15;46.25429;6.87322
4.6;1746;412;15;46.25518;6.87305
4.7;1751;417;15;46.25608;6.87312
4.8;1763;428;15;46.25696;6.87317
4.9;1779;445;15;46.25770;6.87319
5.0;1788;455;16;46.25850;6.87275
5.1;1771;455;33;46.25935;6.87252
5.2;1753;455;51;46.26004;6.87195
5.3;1745;455;59;46.26091;6.87164
5.4;1725;455;78;46.26174;6.87128
5.5;1703;455;100;46.26253;6.87101
5.6;1695;455;109;46.26266;6.86971
5.7;1688;455;116;46.26333;6.86897
5.8;1682;455;122;46.26427;6.86839
5.9;1684;458;122;46.26496;6.86789
6.0;1690;463;122;46.26539;6.86686
6.1;1691;466;124;46.26545;6.86561
6.2;1689;468;128;46.26545;6.86439
6.3;1703;482;128;46.26621;6.86379
6.4;1713;492;128;46.26696;6.86421
6.5;1715;496;130;46.26763;6.86461
6.6;1715;497;131;46.26846;6.86439
6.7;1720;501;131;46.26936;6.86426
6.8;1733;514;131;46.27025;6.86398
6.9;1753;534;131;46.27106;6.86377
7.0;1778;559;131;46.27186;6.86407
7.1;1807;589;131;46.27182;6.86280
7.2;1835;616;131;46.27183;6.86159
7.3;1865;647;131;46.27244;6.86161
7.4;1902;683;131;46.27314;6.86145
7.5;1928;710;131;46.27395;6.86168
7.6;1946;728;131;46.27490;6.86157
7.7;1950;731;131;46.27577;6.86134
7.8;1959;741;131;46.27654;6.86144
7.9;1943;741;147;46.27734;6.86205
8.0;1915;741;175;46.27810;6.86270
8.1;1911;741;179;46.27884;6.86334
8.2;1934;764;179;46.27951;6.86409
8.3;1970;800;179;46.28005;6.86484
8.4;1959;801;192;46.28097;6.86491
8.5;1940;801;211;46.28180;6.86479
8.6;1925;801;225;46.28265;6.86452
8.7;1907;801;243;46.28343;6.86403
8.8;1900;801;251;46.28411;6.86379
8.9;1902;805;252;46.28492;6.86370
9.0;1909;812;252;46.28575;6.86351
9.1;1931;834;252;46.28659;6.86301
9.2;1945;848;252;46.28744;6.86251
9.3;1956;859;252;46.28825;6.86222
9.4;1977;880;252;46.28912;6.86200
9.5;1990;895;253;46.28990;6.86148
9.6;1968;895;276;46.29004;6.86030
9.7;1939;895;305;46.29033;6.85908
9.8;1953;909;305;46.29092;6.85822
9.9;1965;923;307;46.29144;6.85721
10.0;1949;923;323;46.29184;6.85612
10.1;1938;923;334;46.29236;6.85505
10.2;1903;923;369;46.29232;6.85398
10.3;1884;923;388;46.29206;6.85300
10.4;1888;927;388;46.29185;6.85190
10.5;1894;933;389;46.29100;6.85142
10.6;1903;943;389;46.29023;6.85066
10.7;1885;943;407;46.29013;6.84946
10.8;1866;943;426;46.28984;6.84826
10.9;1856;943;436;46.28999;6.84709
11.0;1818;943;474;46.29057;6.84620
11.1;1797;943;495;46.29088;6.84605
11.2;1786;943;506;46.29080;6.84736
11.3;1772;943;520;46.29102;6.84711
11.4;1751;943;541;46.29142;6.84781
11.5;1725;943;567;46.29197;6.84879
11.6;1703;943;589;46.29255;6.84913
11.7;1684;943;608;46.29261;6.84793
11.8;1661;943;631;46.29338;6.84838
11.9;1645;943;647;46.29412;6.84903
12.0;1629;943;663;46.29481;6.84859
12.1;1611;943;681;46.29514;6.84911
12.2;1597;943;695;46.29569;6.85013
12.3;1578;943;714;46.29639;6.85076
12.4;1570;943;722;46.29611;6.84979
12.5;1572;946;723;46.29625;6.84877
12.6;1582;955;723;46.29688;6.84795
12.7;1591;964;723;46.29760;6.84721
12.8;1598;972;723;46.29815;6.84622
12.9;1602;975;723;46.29844;6.84505
13.0;1608;981;723;46.29892;6.84393
13.1;1612;986;723;46.29970;6.84368
13.2;1612;987;724;46.30049;6.84378
13.3;1602;987;734;46.30133;6.84437
13.4;1585;987;751;46.30160;6.84548
13.5;1556;987;780;46.30221;6.84603
13.6;1540;987;796;46.30303;6.84544
13.7;1535;987;801;46.30332;6.84419
13.8;1540;991;801;46.30321;6.84308
13.9;1541;993;801;46.30330;6.84158
14.0;1541;993;802;46.30343;6.84047
14.1;1544;997;802;46.30369;6.83928
14.2;1547;1000;802;46.30397;6.83809
14.3;1560;1012;802;46.30448;6.83746
14.4;1566;1020;803;46.30518;6.83736
14.5;1568;1023;804;46.30567;6.83791
14.6;1589;1044;804;46.30548;6.83675
14.7;1601;1055;804;46.30523;6.83560
14.8;1618;1073;804;46.30536;6.83493
14.9;1634;1089;804;46.30611;6.83548
15.0;1656;1111;804;46.30683;6.83537
15.1;1685;1140;804;46.30766;6.83541
15.2;1721;1175;804;46.30785;6.83428
15.3;1717;1178;810;46.30779;6.83298
15.4;1701;1178;826;46.30790;6.83175
15.5;1689;1178;839;46.30855;6.83098
15.6;1687;1179;841;46.30938;6.83067
15.7;1688;1181;843;46.31013;6.83077
15.8;1691;1188;847;46.31056;6.83126
15.9;1673;1188;864;46.31005;6.83154
16.0;1655;1188;883;46.31057;6.83260
16.1;1640;1188;897;46.31135;6.83296
16.2;1629;1188;908;46.31229;6.83286
16.3;1619;1188;919;46.31302;6.83331
16.4;1623;1195;922;46.31386;6.83376
16.5;1620;1195;925;46.31475;6.83330
16.6;1614;1195;931;46.31515;6.83413
16.7;1605;1195;939;46.31604;6.83389
16.8;1600;1195;944;46.31669;6.83456
16.9;1593;1195;952;46.31668;6.83570
17.0;1571;1195;974;46.31624;6.83684
17.1;1548;1195;996;46.31596;6.83789
17.2;1528;1195;1016;46.31587;6.83902
17.3;1518;1195;1027;46.31504;6.83944
17.4;1501;1195;1043;46.31474;6.84041
17.5;1488;1195;1057;46.31538;6.84105
17.6;1482;1195;1063;46.31607;6.84173
17.7;1467;1195;1078;46.31648;6.84280
17.8;1439;1195;1105;46.31717;6.84344
17.9;1422;1195;1123;46.31791;6.84393
18.0;1401;1197;1145;46.31849;6.84462
18.1;1413;1210;1146;46.31915;6.84531
18.2;1428;1225;1146;46.31973;6.84625
18.3;1445;1242;1146;46.32029;6.84669
18.4;1460;1257;1146;46.32085;6.84611
18.5;1471;1268;1146;46.32153;6.84549
18.6;1475;1272;1146;46.32232;6.84583
18.7;1480;1277;1146;46.32320;6.84591
18.8;1483;1280;1146;46.32372;6.84509
18.9;1492;1288;1146;46.32366;6.84373
19.0;1499;1295;1146;46.32413;6.84275
19.1;1499;1298;1148;46.32413;6.84227
19.2;1505;1308;1152;46.32439;6.84264
19.3;1523;1326;1152;46.32489;6.84199
19.4;1535;1338;1152;46.32529;6.84203
19.5;1545;1348;1152;46.32556;6.84321
19.6;1553;1356;1152;46.32573;6.84443
19.7;1562;1365;1152;46.32543;6.84544
19.8;1566;1374;1157;46.32582;6.84600
19.9;1544;1374;1179;46.32564;6.84662
20.0;1522;1374;1200;46.32592;6.84701
20.1;1500;1374;1222;46.32633;6.84767
20.2;1479;1374;1243;46.32650;6.84870
20.3;1461;1374;1262;46.32717;6.84944
20.4;1445;1374;1278;46.32744;6.84942
20.5;1428;1374;1295;46.32778;6.84839
20.6;1410;1374;1313;46.32819;6.84749
20.7;1394;1374;1329;46.32881;6.84651
20.8;1379;1374;1344;46.32924;6.84576
20.9;1361;1374;1362;46.32984;6.84487
21.0;1347;1374;1376;46.32986;6.84380
21.1;1328;1374;1395;46.33023;6.84271
21.2;1306;1374;1417;46.33067;6.84152
21.3;1285;1374;1438;46.33117;6.84064
21.4;1264;1374;1459;46.33171;6.83959
21.5;1246;1374;1477;46.33206;6.83843
21.6;1232;1374;1491;46.33255;6.83827
21.7;1218;1374;1505;46.33286;6.83948
21.8;1207;1374;1516;46.33270;6.84064
21.9;1193;1374;1530;46.33293;6.84115
22.0;1181;1374;1542;46.33326;6.84195
22.1;1183;1375;1542;46.33304;6.84077
22.2;1185;1378;1542;46.33322;6.83957
22.3;1192;1386;1543;46.33321;6.83909
22.4;1201;1395;1543;46.33374;6.84008
22.5;1209;1403;1543;46.33446;6.84054
22.6;1219;1413;1543;46.33498;6.84141
22.7;1219;1416;1547;46.33546;6.84246
22.8;1204;1416;1561;46.33572;6.84366
22.9;1177;1416;1588;46.33633;6.84455
23.0;1157;1416;1609;46.33685;6.84551
23.1;1166;1427;1610;46.33767;6.84572
23.2;1182;1443;1610;46.33853;6.84595
23.3;1195;1456;1610;46.33904;6.84674
23.4;1213;1474;1610;46.33979;6.84675
23.5;1242;1503;1610;46.34007;6.84614
23.6;1267;1529;1610;46.34038;6.84570
23.7;1291;1552;1610;46.34064;6.84513
23.8;1309;1570;1610;46.34044;6.84454
23.9;1336;1598;1610;46.34091;6.84396
24.0;1365;1626;1610;46.34122;6.84353
24.1;1389;1650;1610;46.34144;6.84311
24.2;1411;1672;1610;46.34194;6.84242
24.3;1433;1694;1610;46.34232;6.84147
24.4;1449;1710;1610;46.34277;6.84053
24.5;1453;1717;1613;46.34319;6.83951
24.6;1449;1717;1617;46.34367;6.83834
24.7;1445;1717;1622;46.34396;6.83721
24.8;1443;1717;1624;46.34380;6.83596
24.9;1437;1717;1630;46.34391;6.83480
25.0;1431;1717;1635;46.34428;6.83372
25.1;1430;1718;1637;46.34493;6.83263
25.2;1428;1719;1640;46.34538;6.83204
25.3;1424;1721;1646;46.34539;6.83148
25.4;1430;1726;1646;46.34529;6.83024
25.5;1435;1732;1646;46.34485;6.82907
25.6;1442;1739;1646;46.34442;6.82810
25.7;1452;1748;1646;46.34448;6.82690
25.8;1460;1757;1646;46.34491;6.82575
25.9;1464;1760;1646;46.34499;6.82452
26.0;1469;1766;1646;46.34495;6.82331
26.1;1476;1772;1646;46.34507;6.82220
26.2;1485;1781;1646;46.34505;6.82101
26.3;1497;1793;1646;46.34493;6.81988
26.4;1512;1809;1646;46.34509;6.81877
26.5;1530;1827;1646;46.34496;6.81762
26.6;1555;1851;1646;46.34454;6.81750
26.7;1577;1874;1646;46.34459;6.81649
26.8;1600;1897;1646;46.34446;6.81571
26.9;1622;1919;1646;46.34445;6.81447
27.0;1640;1937;1646;46.34424;6.81326
