poste_id;nom;site;categorie;debut;fin;effectif_min;effectif_ideal;competences_requises;chef_de_poste_requis;notes;origine
V01;Retrait des dossards Marathon;Le Bouveret;dossards;2025-09-05T14:30:00;2025-09-05T19:15:00;4;6;controle_materiel;True;Contrôle pièce d'identité et matériel obligatoire, remise du bracelet;roadbook
V02;Accueil navette coureurs 17h00;Le Bouveret;navette;2025-09-05T16:30:00;2025-09-05T17:15:00;1;2;;False;Vérification des réservations au parking voitures;roadbook
V03;Préparation logistique ravitos (chargement);Le Bouveret;logistique;2025-09-05T13:00:00;2025-09-05T17:00:00;3;5;permis_B;False;Chargement des camionnettes : tables, eau, boissons, barres;hypothese
V04;Livraison des postes isolés (Blancsex, Taney) en 4x4;Chalet de Blancsex;logistique;2025-09-05T13:00:00;2025-09-05T18:00:00;2;3;permis_B,4x4,montagne;False;"Eau, tables, matériel sec déposés la veille au chalet ; le frais monte le matin avec l'équipe";hypothese
S00;Livraison du frais aux postes accessibles (Conche, Grand Pré);Chalet de Conche;logistique;2025-09-06T06:00:00;2025-09-06T09:00:00;2;2;permis_B;False;Camionnette : Conche avant 07h45, puis Grand Pré;hypothese
S26a;Réserve volante au PC (véhicule chargé), créneau 1/3;Le Bouveret;reserve_volante;2025-09-06T08:00:00;2025-09-06T13:30:00;2;3;permis_B,vehicule;False;Sans poste fixe. Réassort eau, remplacement, transport d'un bénévole. Idéalement un 4x4 et une personne apte montagne. Deux créneaux conseillés.;hypothese
S26b;Réserve volante au PC (véhicule chargé), créneau 2/3;Le Bouveret;reserve_volante;2025-09-06T13:00:00;2025-09-06T18:30:00;2;3;permis_B,vehicule;False;Sans poste fixe. Réassort eau, remplacement, transport d'un bénévole. Idéalement un 4x4 et une personne apte montagne. Deux créneaux conseillés.;hypothese
S26c;Réserve volante au PC (véhicule chargé), créneau 3/3;Le Bouveret;reserve_volante;2025-09-06T18:00:00;2025-09-06T23:00:00;2;3;permis_B,vehicule;False;Sans poste fixe. Réassort eau, remplacement, transport d'un bénévole. Idéalement un 4x4 et une personne apte montagne. Deux créneaux conseillés.;hypothese
S01;Accueil navette coureurs 07h00;Le Bouveret;navette;2025-09-06T06:30:00;2025-09-06T07:15:00;1;2;;False;;roadbook
S02;Retrait des dossards Marathon (Morgins);Morgins;dossards;2025-09-06T07:00:00;2025-09-06T08:45:00;3;5;controle_materiel;True;Tennis, route de France 33;roadbook
S03;Zone de départ (sas, consignes, sacs);Morgins;depart;2025-09-06T07:30:00;2025-09-06T09:30:00;4;6;;True;Gestion du sas, dépose des sacs 15 min avant le départ;hypothese
S04;Signaleurs traversée de route au départ;Morgins;signaleur;2025-09-06T08:30:00;2025-09-06T09:45:00;2;3;majeur,gilet;False;Route cantonale à la sortie du village, 2 côtés;hypothese
S05;Ravitaillement Morgins (SP70) + départ Marathon;Morgins;ravitaillement;2025-09-06T07:00:00;2025-09-06T11:30:00;4;6;;True;Ravito du SP70 (premier 08h00, barrière 11h00) au même endroit que le départ du Marathon;roadbook
S06;Ravitaillement Chalet de Conche;Chalet de Conche;ravitaillement;2025-09-06T07:45:00;2025-09-06T13:00:00;4;6;;True;Premier SP70 08h45, dernier Marathon 10h45, dernier SP70 12h30. Bus abandon sur place.;roadbook
S07;Chef de poste + pointage Chalet de Conche;Chalet de Conche;pointage;2025-09-06T07:45:00;2025-09-06T13:00:00;1;2;experience,telephone;False;Pointage manuel de secours, liaison PC course;hypothese
S08;Ravitaillement Chalet de Blancsex, créneau matin;Chalet de Blancsex;ravitaillement;2025-09-06T09:00:00;2025-09-06T12:30:00;4;6;montagne;True;Accès à pied depuis le parking (25 min). Premier SP70 10h00, premier Marathon 11h00.;roadbook
S09;Ravitaillement Chalet de Blancsex, créneau après-midi;Chalet de Blancsex;ravitaillement;2025-09-06T12:00:00;2025-09-06T16:00:00;4;6;montagne;True;Barrière Marathon 14h00, barrière SP70 15h30. Gestion des abandons et du bus.;roadbook
S10;Barrière horaire et abandons Blancsex;Chalet de Blancsex;controle;2025-09-06T13:00:00;2025-09-06T16:00:00;2;2;experience,montagne,telephone;False;Invalidation des dossards, récupération des puces, comptage bus;roadbook
S11;Ravitaillement Taney, créneau matin;Taney;ravitaillement;2025-09-06T09:45:00;2025-09-06T14:00:00;3;5;montagne;True;Montée à pied 400 m D+ depuis Le Flon (1h) ou taxi. Premier SP70 10h45, premier Marathon 11h45.;roadbook
S12;Ravitaillement Taney, créneau après-midi;Taney;ravitaillement;2025-09-06T13:30:00;2025-09-06T18:00:00;3;5;montagne;True;Dernier Marathon 16h15, dernier SP70 17h30;roadbook
S13;Ravitaillement Le Grand Pré, créneau 1;Le Grand Pré;ravitaillement;2025-09-06T11:00:00;2025-09-06T16:00:00;4;6;;True;Premier SP70 12h00, premier Marathon 12h45;roadbook
S14;Ravitaillement Le Grand Pré, créneau 2;Le Grand Pré;ravitaillement;2025-09-06T15:30:00;2025-09-06T21:15:00;4;6;;True;Dernier Marathon 20h00, dernier SP70 20h45, nuit à partir de 20h00 : frontales;roadbook
S15a;Signaleurs traversée de route Le Grand Pré, créneau 1/2;Le Grand Pré;signaleur;2025-09-06T11:30:00;2025-09-06T16:45:00;2;4;majeur,gilet;False;Traversée de la route, 2 personnes en permanence, relève à 16h00;hypothese
S15b;Signaleurs traversée de route Le Grand Pré, créneau 2/2;Le Grand Pré;signaleur;2025-09-06T16:15:00;2025-09-06T21:00:00;2;4;majeur,gilet;False;Traversée de la route, 2 personnes en permanence, relève à 16h00;hypothese
S16;Serre-file Morgins vers Blancsex;Chalet de Conche;serre_file;2025-09-06T09:00:00;2025-09-06T14:30:00;2;2;trail,montagne,telephone,PSC1;False;Partent derrière le dernier coureur, débalisent, signalent au PC;hypothese
S17a;Serre-file Blancsex vers Bouveret, créneau 1/2;Chalet de Blancsex;serre_file;2025-09-06T14:00:00;2025-09-06T19:15:00;2;2;trail,montagne,telephone,PSC1,frontale;False;Section de nuit possible après Le Grand Pré;hypothese
S17b;Serre-file Blancsex vers Bouveret, créneau 2/2;Chalet de Blancsex;serre_file;2025-09-06T18:45:00;2025-09-06T23:30:00;2;2;trail,montagne,telephone,PSC1,frontale;False;Section de nuit possible après Le Grand Pré;hypothese
S18;Arrivée : ligne, médailles et bracelets, créneau 1;Le Bouveret;arrivee;2025-09-06T12:00:00;2025-09-06T18:00:00;4;6;;True;Premier SP70 13h00, premier Marathon 13h30;roadbook
S19a;Arrivée : ligne, médailles et bracelets, créneau 2, créneau 1/2;Le Bouveret;arrivee;2025-09-06T17:30:00;2025-09-06T21:30:00;4;6;;True;Barrière Marathon 23h00, barrière SP70 23h30;roadbook
S19b;Arrivée : ligne, médailles et bracelets, créneau 2, créneau 2/2;Le Bouveret;arrivee;2025-09-06T21:00:00;2025-09-07T00:15:00;4;6;;True;Barrière Marathon 23h00, barrière SP70 23h30;roadbook
S20a;Repas chaud finishers, créneau 1/3;Le Bouveret;restauration;2025-09-06T12:30:00;2025-09-06T16:45:00;4;8;hygiene;False;Deux services conseillés : 12h30-18h00 et 17h30-23h30;hypothese
S20b;Repas chaud finishers, créneau 2/3;Le Bouveret;restauration;2025-09-06T16:15:00;2025-09-06T20:15:00;4;8;hygiene;False;Deux services conseillés : 12h30-18h00 et 17h30-23h30;hypothese
S20c;Repas chaud finishers, créneau 3/3;Le Bouveret;restauration;2025-09-06T19:45:00;2025-09-06T23:30:00;4;8;hygiene;False;Deux services conseillés : 12h30-18h00 et 17h30-23h30;hypothese
S21a;Sacs suiveurs et consigne, créneau 1/3;Le Bouveret;logistique;2025-09-06T12:30:00;2025-09-06T16:45:00;2;3;;False;Restitution des sacs sur présentation du dossard;roadbook
S21b;Sacs suiveurs et consigne, créneau 2/3;Le Bouveret;logistique;2025-09-06T16:15:00;2025-09-06T20:15:00;2;3;;False;Restitution des sacs sur présentation du dossard;roadbook
S21c;Sacs suiveurs et consigne, créneau 3/3;Le Bouveret;logistique;2025-09-06T19:45:00;2025-09-06T23:30:00;2;3;;False;Restitution des sacs sur présentation du dossard;roadbook
S22a;Assistance point de secours (aide aux secouristes), créneau 1/3;Le Bouveret;secours;2025-09-06T13:00:00;2025-09-06T17:00:00;2;3;PSC1;False;Les soins sont assurés par les samaritains, les bénévoles orientent et accompagnent;roadbook
S22b;Assistance point de secours (aide aux secouristes), créneau 2/3;Le Bouveret;secours;2025-09-06T16:30:00;2025-09-06T20:30:00;2;3;PSC1;False;Les soins sont assurés par les samaritains, les bénévoles orientent et accompagnent;roadbook
S22c;Assistance point de secours (aide aux secouristes), créneau 3/3;Le Bouveret;secours;2025-09-06T20:00:00;2025-09-06T23:30:00;2;3;PSC1;False;Les soins sont assurés par les samaritains, les bénévoles orientent et accompagnent;roadbook
S23a;Signaleurs traversée quai Bussien, créneau 1/3;Le Bouveret;signaleur;2025-09-06T12:30:00;2025-09-06T16:30:00;2;4;majeur,gilet;False;Relève conseillée à 18h00;hypothese
S23b;Signaleurs traversée quai Bussien, créneau 2/3;Le Bouveret;signaleur;2025-09-06T16:00:00;2025-09-06T20:15:00;2;4;majeur,gilet;False;Relève conseillée à 18h00;hypothese
S23c;Signaleurs traversée quai Bussien, créneau 3/3;Le Bouveret;signaleur;2025-09-06T19:45:00;2025-09-06T23:15:00;2;4;majeur,gilet;False;Relève conseillée à 18h00;hypothese
S24a;Parking Bellossy et navettes, créneau 1/3;Le Bouveret;parking;2025-09-06T06:00:00;2025-09-06T11:15:00;2;4;gilet;False;Orientation des véhicules, 2 créneaux conseillés;hypothese
S24b;Parking Bellossy et navettes, créneau 2/3;Le Bouveret;parking;2025-09-06T10:45:00;2025-09-06T15:45:00;2;4;gilet;False;Orientation des véhicules, 2 créneaux conseillés;hypothese
S24c;Parking Bellossy et navettes, créneau 3/3;Le Bouveret;parking;2025-09-06T15:15:00;2025-09-06T20:00:00;2;4;gilet;False;Orientation des véhicules, 2 créneaux conseillés;hypothese
S25a;PC course : standard téléphonique et suivi live, créneau 1/4;Le Bouveret;pc_course;2025-09-06T08:00:00;2025-09-06T12:30:00;2;3;experience,informatique;True;Réception des pointages, appels des chefs de poste, suivi des abandons;hypothese
S25b;PC course : standard téléphonique et suivi live, créneau 2/4;Le Bouveret;pc_course;2025-09-06T12:00:00;2025-09-06T16:30:00;2;3;experience,informatique;True;Réception des pointages, appels des chefs de poste, suivi des abandons;hypothese
S25c;PC course : standard téléphonique et suivi live, créneau 3/4;Le Bouveret;pc_course;2025-09-06T16:00:00;2025-09-06T20:30:00;2;3;experience,informatique;True;Réception des pointages, appels des chefs de poste, suivi des abandons;hypothese
S25d;PC course : standard téléphonique et suivi live, créneau 4/4;Le Bouveret;pc_course;2025-09-06T20:00:00;2025-09-07T00:00:00;2;3;experience,informatique;True;Réception des pointages, appels des chefs de poste, suivi des abandons;hypothese
D01;Démontage et rangement du matériel;Le Bouveret;logistique;2025-09-07T14:00:00;2025-09-07T18:00:00;4;8;;False;Après le Semi-Marathon du dimanche;hypothese
